"id","quote","author"
"323","There Has Never Yet Been A Man In Our History Who Led A Life Of Ease Whose Name Is Worth Remembering.","Theodore Roosevelt"
"324","A teacher should have a creative mind.","Abdul Kalam"
"325","The criterion of action is that todays work should not be deferred till the following day.","Umar ibn Al-Khattāb (R.A)"
"326","Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.","Muhammad Ali"
"327","The chess master says nothing, other than moving the silent chess piece.","Rumi"
"328","Reader, Suppose You Were An Idiot. And Suppose You Were A Member Of Congress. But I Repeat Myself.","Mark Twain"
"329","I Love Sleep. My Life Has The Tendency To Fall Apart When I'M Awake, You Know?","Ernest Hemingway"
"330","He That Can Have Patience Can Have What He Will.","Benjamin Franklin"
"331","Champions Keep Playing Until They Get It Right.","Billie Jean King"
"332","Without Music, Life Would Be A Mistake.","Friedrich Nietzsche"
"333","The worst of our faults is our interest in other people's faults.","Ali ibn Abi Talib (R.A)"
"334","I Think It'S Nice For Women To Try To Be Sexy For Their Man.","Salma Hayek"
"335","My impression of the American people can be summarized by a quotation from Benjamin Franklin, Those things that hurt instruct! I realized that people in this part of the world meet their problems head on. They attempt to get out of them rather than suffer them.","Abdul Kalam"
"336","Boys, You Must Strive To Find Your Own Voice, Because The Longer You Wait To Begin The Less Likely You Are To Find It At All.","Robin Williams"
"337","Be dignified, honest and truthful.","Umar ibn Al-Khattāb (R.A)"
"338","Women are not a garment you wear and undress however you like. They are honored and have their rights.","Umar ibn Al-Khattāb (R.A)"
"339","Love Matches, So Called, Have Illusion For Their Father And Need For Their Mother.","Friedrich Nietzsche"
"340","A Lot Of People Quit Looking For Work As Soon As They Find A Job.","Zig Ziglar"
"341","If We Open A Quarrel Between Past And Present, We Shall Find That We Have Lost The Future.","Winston Churchill"
"342","Even If I Knew That Tomorrow The World Would Go To Pieces, I Would Still Plant My Apple Tree.","Martin Luther"
"343","One who rushes madly after inordinate desire, runs the risk of encountering destruction and death.","Ali ibn Abi Talib (R.A)"
"344","Getting Over A Painful Experience Is Much Like Crossing Monkey Bars. You Have To Let Go At Some Point In Order To Move Forward.","C. S. Lewis"
"345","You Have Enemies? Good. That Means You'Ve Stood Up For Something, Sometime In Your Life.","Winston Churchill"
"346","It's the repetition of affirmations that leads to belief. And once that belief becomes a deep conviction, things begin to happen.","Muhammad Ali"
"347","If I Were Not A Physicist, I Would Probably Be A Musician. I Often Think In Music. I Live My Daydreams In Music. I See My Life In Terms Of Music.","Albert Einstein"
"348","We will be remembered only if we give to our younger generation a prosperous and safe India, resulting out of economic prosperity coupled with civilizational heritage.","Abdul Kalam"
"349","There is a field beyond all notions of right and wrong. Come, meet me there.","Rumi"
"350","Even The Darkest Night Will End And The Sun Will Rise.","Victor Hugo"
"351","Feet, What Do I Need You For When I Have Wings To Fly?","Frida Kahlo"
"352","Whoever Would Overthrow The Liberty Of A Nation Must Begin By Subduing The Freeness Of Speech.","Benjamin Franklin"
"353","Spread Love Everywhere You Go. Let No One Ever Come To You Without Leaving Happier.","Mother Teresa"
"354","One of the very important characteristics of a student is to question. Let the students ask questions.","Abdul Kalam"
"355","To fight against the infidels is Jihad; but to fight against your evil self is greater Jihad.","Abu Bakr (R.A)"
"356","At home I am a nice guy: but I don't want the world to know. Humble people, I've found, don't get very far.","Muhammad Ali"
"357","May Allah bless the man who says less and does more.","Umar ibn Al-Khattāb (R.A)"
"358","My place is placeless, a trace of the traceless.","Rumi"
"359","Success Is Not Final, Failure Is Not Fatal: It Is The Courage To Continue That Counts.","Winston Churchill"
"360","Plants And Minerals Are Bound To Predestination. The Faithful Is Only Bound To The Divine Orders.","Muhammad Iqbal"
"361","As We Express Our Gratitude, We Must Never Forget That The Highest Appreciation Is Not To Utter Words, But To Live By Them.","John F. Kennedy"
"362","Death is the easiest of all things after it, and the hardest of all things before it.","Abu Bakr (R.A)"
"363","When In Doubt, Go For The Dick Joke.","Robin Williams"
"364","I Do Not Think Much Of A Man Who Is Not Wiser Today Than He Was Yesterday.","Abraham Lincoln"
"365","Don'T Be Distracted By Criticism. Remember ~ The Only Taste Of Success Some People Have Is When They Take A Bite Out Of You.","Zig Ziglar"
"366","Words are a pretext. It is the inner bond that draws one person to another, not words.","Rumi"
"367","Where There Is No Struggle, There Is No Strength.","Oprah Winfrey"
"368","The Function Of Muscle Is To Pull And Not To Push, Except In The Case Of The Genitals And The Tongue.","Leonardo Da Vinci"
"369","Through love, all pain will turn to medicine.","Rumi"
"370","Allah will help him who moves in the way of Allah.","Abu Bakr (R.A)"
"371","Do Not Be Embarrassed By Your Failures, Learn From Them And Start Again.","Richard Branson"
"372","I know where I'm going and I know the truth, and I don't have to be what you want me to be. I'm free to be what I want.","Muhammad Ali"
"373","He who prays five times a day is in the protection of God, and he who is protected by God cannot be harmed by anyone.","Abu Bakr (R.A)"
"374","I Find Hope In The Darkest Of Days, And Focus In The Brightest. I Do Not Judge The Universe.","Dalai Lama"
"375","The wisest among you is he whose sustenance is the fear of Allah.","Umar ibn Al-Khattāb (R.A)"
"376","Because I cannot sleep I make music in the night.","Rumi"
"377","Strive Not To Be A Success, But Rather To Be Of Value.","Albert Einstein"
"378","If You Tell The Truth, You Don'T Have To Remember Anything.","Mark Twain"
"379","Disneyland Will Never Be Completed. It Will Continue To Grow As Long As There Is Imagination Left In The World.","Walt Disney"
"380","If You Have Good Thoughts They Will Shine Out Of Your Face Like Sunbeams And You Will Always Look Lovely.","Roald Dahl"
"381","If you wish to be a mine of jewels, open the deep ocean within your heart.","Rumi"
"382","Let me alone, and go in search of someone else.","Ali ibn Abi Talib (R.A)"
"383","A True friend is one who sees a fault, gives you advice and who defends you in your absence.","Ali ibn Abi Talib (R.A)"
"384","You Can Tell Whether A Man Is Clever By His Answers. You Can Tell Whether A Man Is Wise By His Questions.","Naguib Mahfouz"
"385","No One Changes The World Who Isn'T Obsessed.","Billie Jean King"
"386","The best deed of a great man is to forgive and forget.","Ali ibn Abi Talib (R.A)"
"387","One May Sometimes Tell A Lie, But The Grimace That Accompanies It Tells The Truth.","Friedrich Nietzsche"
"388","Do not hate what you do not know, for the greater part of knowledge consists of what you do not know.","Ali ibn Abi Talib (R.A)"
"389","Love Begins At Home, And It Is Not How Much We Do... But How Much Love We Put In That Action.","Mother Teresa"
"390","My Religion Is Very Simple. My Religion Is Kindness.","Dalai Lama"
"391","There are forces in life working for you and against you. One must distinguish the beneficial forces from the malevolent ones and choose correctly between them.","Abdul Kalam"
"392","Beware Of Little Expenses. A Small Leak Will Sink A Great Ship.","Benjamin Franklin"
"393","All My Life Through, The New Sights Of Nature Made Me Rejoice Like A Child.","Marie Curie"
"394","He who indulges in falsehood will find the paths of paradise shut to him.","Abu Bakr (R.A)"
"395","Man Is Descended From A Hairy, Tailed Quadruped, Probably Arboreal In Its Habits.","Charles Darwin"
"396","The minute I heard my first love story, I started looking for you.","Rumi"
"397","People of the world don't look at themselves, and so they blame one another.","Rumi"
"398","The Truth. It Is A Beautiful And Terrible Thing, And Must Therefore Be Treated With Great Caution.","J. K. Rowling"
"399","The Object Of The Superior Man Is Truth.","Confucius"
"400","Live amongst people in such a manner that if you die they weep over you and if you are alive they crave for your company.","Ali ibn Abi Talib (R.A)"
"401","Pride In The Case Of A Rich Man Is Bad, But Pride In The Case Of A Poor Man Is Worse.","Abu Bakr"
"402","Tell Me And I Forget. Teach Me And I Remember. Involve Me And I Learn.","Benjamin Franklin"
"403","Why Is It That We Rejoice At A Birth And Grieve At A Funeral? It Is Because We Are Not The Person Involved.","Mark Twain"
"404","If You Have A Particular Faith Or Religion, That Is Good. But You Can Survive Without It.","Dalai Lama"
"405","You don't want no pie in the sky when you die, You want something here on the ground while you're still around.","Muhammad Ali"
"406","Don't be satisfied with stories, how things have gone with others. Unfold your own myth.","Rumi"
"407","Purify your eyes, and see the pure world. Your life will fill with radiant forms.","Rumi"
"408","Associating with the wise and the knowledgeable people adds to the prestige of a person.","Ali ibn Abi Talib (R.A)"
"409","There Is No Darkness But Ignorance.","William Shakespeare"
"410","All Great Achievements Require Time.","Maya Angelou"
"411","One Does Not Leave A Convivial Party Before Closing Time.","Winston Churchill"
"412","You Are Not Only Responsible For What You Say, But Also For What You Do Not Say.","Martin Luther"
"413","So Go Ahead. Fall Down. The World Looks Different From The Ground.","Oprah Winfrey"
"414","When We Lose One Blessing, Another Is Often Most Unexpectedly Given In Its Place.","C. S. Lewis"
"415","Intelligence Is The Wife, Imagination Is The Mistress, Memory Is The Servant.","Victor Hugo"
"416","It is a matter of shame that in the morning the birds should be awake earlier than you.","Abu Bakr (R.A)"
"417","What Doesn'T Kill Us Makes Us Stronger.","Friedrich Nietzsche"
"418","The weakest man is the one who is able to correct his moral defects, but doesn't take action.","Ali ibn Abi Talib (R.A)"
"419","I Do Not Need The Idea Of God To Explain The World I Live In.","Salman Rushdie"
"420","The highest person is he who is of most use to humankind.","Ali ibn Abi Talib (R.A)"
"421","Common Sense Is The Collection Of Prejudices Acquired By Age Eighteen.","Albert Einstein"
"422","Do not let your difficulties fill you with anxiety, after all it is only in the darkest nights that stars shine more brightly.","Ali ibn Abi Talib (R.A)"
"423","Preserve the sayings of those people who are indifferent to the world. They say only that what Allah wishes them to say.","Umar ibn Al-Khattāb (R.A)"
"424","I hated every minute of training, but I said, “Don't quit. Suffer now and live the rest of your life as a champion.”","Muhammad Ali"
"425","The Only Way To Do News On Television Is Not To Be Terrified Of It.","David Brinkley"
"426","It Is A Mistake To Look Too Far Ahead. Only One Link Of The Chain Of Destiny Can Be Handled At A Time.","Winston Churchill"
"427","I'll destroy you. I am the master of disaster.","Muhammad Ali"
"428","I fear the day when the Kuffar are proud of their falsehood, and the Muslims are shy of their faith.","Umar ibn Al-Khattāb (R.A)"
"429","It Is From Books That Wise People Derive Consolation In The Troubles Of Life.","Victor Hugo"
"430","Take Things As They Are. Punch When You Have To Punch. Kick When You Have To Kick.","Bruce Lee"
"431","Do not overeat; that invites disease.","Umar ibn Al-Khattāb (R.A)"
"432","Denial Ain'T Just A River In Egypt.","Mark Twain"
"433","Life Well Spent Is Long.","Leonardo Da Vinci"
"434","Love is the bridge between you and everything.","Rumi"
"435","Be patient where you sit in the dark. The dawn is coming.","Rumi"
"436","Often It Does Seem A Pity That Noah And His Party Did Not Miss The Boat.","Mark Twain"
"437","A heart filled with love is like a phoenix that no cage can imprison.","Rumi"
"438","No boxer in the history of boxing has had Parkinson's. There's no injury in my brain that suggests that the illness came from boxing.","Muhammad Ali"
"439","He Who Is Fixed To A Star Does Not Change His Mind.","Leonardo Da Vinci"
"440","Imagination Will Often Carry Us To Worlds That Never Were. But Without It We Go Nowhere.","Carl Sagan"
"441","Nothing Good Ever Comes Of Violence.","Martin Luther"
"442","If Light Is In Your Heart You Will Find Your Way Home.","Rumi"
"443","To Be A Christian Means To Forgive The Inexcusable Because God Has Forgiven The Inexcusable In You.","C. S. Lewis"
"444","Don't forget your own self while preaching to others.","Umar ibn Al-Khattāb (R.A)"
"445","If That'S There, I Believe That Technology Will Probably Step Up To Their Part Of It.","Neil Armstrong"
"446","Creativity is the key to success in the future, and primary education is where teachers can bring creativity in children at that level.","Abdul Kalam"
"447","If they can make penicillin out of moldy bread, then they can sure make something out of you.","Muhammad Ali"
"448","Thoughts Are The Shadows Of Our Feelings - Always Darker, Emptier And Simpler.","Friedrich Nietzsche"
"449","It Is The Supreme Art Of The Teacher To Awaken Joy In Creative Expression And Knowledge.","Albert Einstein"
"450","He who does not live in the way of his beliefs starts to believe in the way he lives.","Umar ibn Al-Khattāb (R.A)"
"451","We should not give up and we should not allow the problem to defeat us.","Abdul Kalam"
"452","Failure Is Not The Opposite Of Success; It'S Part Of Success.","Arianna Huffington"
"453","Where there is ruin, there is hope for a treasure.","Rumi"
"454","Risk Comes From Not Knowing What You'Re Doing.","Warren Buffett"
"455","Do not be too hard, lest you be broken; do not be too soft, lest you be squeezed.","Ali ibn Abi Talib (R.A)"
"456","Champions come and go, but to be legendary you got to have heart, more heart than the next man, more than anyone in the world.","Muhammad Ali"
"457","It Is Normal To Give Away A Little Of One'S Life In Order Not To Lose It All.","Albert Camus"
"458","What is politics? Political system is equal to development politics plus political politics.","Abdul Kalam"
"459","I don't count my situps. I only start counting once it starts hurting.","Muhammad Ali"
"460","How could they say that my religion, Islam was a 'race hate' religion after all the plunder and enslavement and domination of my people by white Christians in the name of white supremacy?","Muhammad Ali"
"461","To make one good action succeed another, is the perfection of goodness.","Ali ibn Abi Talib (R.A)"
"462","Loving one another is half of wisdom.","Ali ibn Abi Talib (R.A)"
"463","There is no harm in patience, and no profit in lamentation. Death is easier to bear (than) that which precedes it, and more severe than that which comes after it. Remember the death of the Apostle of God, and your sorrow will be lessened.","Abu Bakr (R.A)"
"464","At Twenty Years Of Age The Will Reigns; At Thirty, The Wit; And At Forty, The Judgment.","Benjamin Franklin"
"465","We can't be brave without fear.","Muhammad Ali"
"466","Morality Is The Herd-Instinct In The Individual.","Friedrich Nietzsche"
"467","Truly great people in history never wanted to be great for themselves. All they wanted was the chance to do good for others and be close to God.","Muhammad Ali"
"468","The Will To Win, The Desire To Succeed, The Urge To Reach Your Full Potential... These Are The Keys That Will Unlock The Door To Personal Excellence.","Confucius"
"469","The Earth is the most powerful and energetic planet.","Abdul Kalam"
"470","Never explain yourself to anyone, because the one who likes you would not need it, and the one dislikes you wouldn't believe it.","Ali ibn Abi Talib (R.A)"
"471","People Say Satire Is Dead. It'S Not Dead; It'S Alive And Living In The White House.","Robin Williams"
"472","If my mind can conceive it, and my heart can believe it, then I can achieve it.","Muhammad Ali"
"473","A Question That Sometimes Drives Me Hazy: Am I Or Are The Others Crazy?","Albert Einstein"
"474","He who busies himself with things other than improvement of his own self becomes perplexed in darkness and entangled in ruin. His evil spirits immerse him deep in vices and make his bad actions seem handsome.","Ali ibn Abi Talib (R.A)"
"475","Impossible is nothing.","Muhammad Ali"
"476","In the matter of justice, all should be equal in your eyes.","Abu Bakr (R.A)"
"477","A Well-Spent Day Brings Happy Sleep.","Leonardo Da Vinci"
"478","Don't engage your heart in grief over the past or you wont be ready for what is coming.","Ali ibn Abi Talib (R.A)"
"479","Two things cause people to be destroyed: fear of poverty and seeking superiority through pride.","Ali ibn Abi Talib (R.A)"
"480","When a man says I cannot, he has made a suggestion to himself. He has weakened his power of accomplishing that which otherwise would have been accomplished.","Muhammad Ali"
"481","Your Most Unhappy Customers Are Your Greatest Source Of Learning.","Bill Gates"
"482","Thinking should become your capital asset, no matter whatever ups and downs you come across in your life.","Abdul Kalam"
"483","I'm the best. I just haven't played yet.","Muhammad Ali"
"484","Your worst enemy is hiding within yourself, and that enemy is your nafs or false ego.","Rumi"
"485","Do not put off today's work for tomorrow.","Umar ibn Al-Khattāb (R.A)"
"486","Things Won Are Done, Joy'S Soul Lies In The Doing.","William Shakespeare"
"487","In Order To Be An Immaculate Member Of A Flock Of Sheep, One Must Above All Be A Sheep Oneself.","Albert Einstein"
"488","I'Ve Learned That Making A 'Living' Is Not The Same Thing As 'Making A Life'.","Maya Angelou"
"489","What hurts you, blesses you. Darkness is your candle.","Rumi"
"490","The one who has no control over his desires has no control over his mind.","Ali ibn Abi Talib (R.A)"
"491","A moment of patience in a moment of anger prevents a thousand moments of regret.","Ali ibn Abi Talib (R.A)"
"492","Man comes from a drop of semen and leaves as a piece of dust. He doesn't know when he came and he doesn't know when he's leaving, yet he walks on the earth thinking he knows everything.","Ali ibn Abi Talib (R.A)"
"493","I searched for God and found only myself. I searched for myself and found only God.","Rumi"
"494","There Are Two Sides To Every Issue: One Side Is Right And The Other Is Wrong, But The Middle Is Always Evil.","Ayn Rand"
"495","Listen with ears of tolerance! See through the eyes of compassion! Speak with the language of love.","Rumi"
"496","Let Me Alone, And Go In Search Of Someone Else.","Ali Ibn Abi Talib"
"497","Dislike in yourself what you dislike in others.","Ali ibn Abi Talib (R.A)"
"498","People Ask The Difference Between A Leader And A Boss. The Leader Leads, And The Boss Drives.","Theodore Roosevelt"
"499","The wisest man is he who can account for his actions.","Umar ibn Al-Khattāb (R.A)"
"500","I'M Not Even Kind Of A Lesbian.","Oprah Winfrey"
"501","God gave me Parkinson's syndrome to show me I'm not 'The Greatest' - he is.","Muhammad Ali"
"502","Have an earnestness for death and you will have life.","Abu Bakr (R.A)"
"503","He who is not impressed by sound advice, lacks faith.","Abu Bakr (R.A)"
"504","A man's worth depends upon the nobility of his aspirations.","Ali ibn Abi Talib (R.A)"
"505","Hesitation Increases In Relation To Risk In Equal Proportion To Age.","Ernest Hemingway"
"506","He who trusts the world, the world betrays him.","Ali ibn Abi Talib (R.A)"
"507","Let silence take you to the core of life.","Rumi"
"508","Often your utterances and expressions of your face leak out the secrets of your hidden thoughts.","Ali ibn Abi Talib (R.A)"
"509","You Don'T Have To See The Whole Staircase, Just Take The First Step.","Martin Luther King  Jr."
"510","There is one way of breathing that is shameful and constricted. Then, there's another way: a breath of love that takes you all the way to infinity.","Rumi"
"511","You cannot change your future, but you can change your habits, and surely your habits will change your future.","Abdul Kalam"
"512","Does Wisdom Perhaps Appear On The Earth As A Raven Which Is Inspired By The Smell Of Carrion?","Friedrich Nietzsche"
"513","Courage Is Resistance To Fear, Mastery Of Fear, Not Absence Of Fear.","Mark Twain"
"514","This is a subtle truth. Whatever you love, you are.","Rumi"
"515","Money Has Never Made Man Happy, Nor Will It, There Is Nothing In Its Nature To Produce Happiness. The More Of It One Has The More One Wants.","Benjamin Franklin"
"516","Potentially, A Government Is The Most Dangerous Threat To Man'S Rights: It Holds A Legal Monopoly On The Use Of Physical Force Against Legally Disarmed Victims.","Ayn Rand"
"517","Dream, Dream Dream Dreams transform into thoughts And thoughts result in action.","Abdul Kalam"
"518","Be motivated like the falcon, hunt gloriously. Be magnificent as the leopard, fight to win. Spend less time with nightingales and peacocks. One is all talk, the other only color.","Rumi"
"519","Never, Never, Never Give Up.","Winston Churchill"
"520","Make Everything As Simple As Possible, But Not Simpler.","Albert Einstein"
"521","Ah, Mon Cher, For Anyone Who Is Alone, Without God And Without A Master, The Weight Of Days Is Dreadful.","Albert Camus"
"522","Work Consists Of Whatever A Body Is Obliged To Do. Play Consists Of Whatever A Body Is Not Obliged To Do.","Mark Twain"
"523","Trust is that there should be no difference between what you do and say and what you think.","Umar ibn Al-Khattāb (R.A)"
"524","Try something different. Surrender.","Rumi"
"525","Marriage Is Like Putting Your Hand Into A Bag Of Snakes In The Hope Of Pulling Out An Eel.","Leonardo Da Vinci"
"526","What keeps me going is goals.","Muhammad Ali"
"527","Music Was My Refuge. I Could Crawl Into The Space Between The Notes And Curl My Back To Loneliness.","Maya Angelou"
"528","I have been given the authority over you, and I am not the best of you. If I do well, help me; and if I do wrong, set me right. Sincere regard for truth.","Abu Bakr (R.A)"
"529","Follow the way of life, which the Holy Prophet has shown you, for verily that is the right path.","Abu Bakr (R.A)"
"530","There is hope after despair and many suns after darkness.","Rumi"
"531","It'S Just A Job. Grass Grows, Birds Fly, Waves Pound The Sand. I Beat People Up.","Muhammad Ali"
"532","He who is greedy is disgraced; he who discloses his hardship will always be humiliated; he who has no control over his tongue will often have to face discomfort.","Ali ibn Abi Talib (R.A)"
"533","My toughest opponent has always been me.","Muhammad Ali"
"534","Wars Of Nations Are Fought To Change Maps. But Wars Of Poverty Are Fought To Map Change.","Muhammad Ali"
"535","Dream is not that which you see while sleeping it is something that does not let you sleep.","Abdul Kalam"
"536","The Lack Of Money Is The Root Of All Evil.","Mark Twain"
"537","Sit with those who constantly repent, for they have the softest hearts.","Umar ibn Al-Khattāb (R.A)"
"538","A Successful Man Is One Who Can Lay A Firm Foundation With The Bricks Others Have Thrown At Him.","David Brinkley"
"539","A girl is a good deed and a boy is a bounty. Good deeds are rewarded while people are held accountable for bounties.","Ali ibn Abi Talib (R.A)"
"540","Success Depends Upon Previous Preparation, And Without Such Preparation There Is Sure To Be Failure.","Confucius"
"541","Suit The Action To The Word, The Word To The Action.","William Shakespeare"
"542","Every Aspect Of Western Culture Needs A New Code Of Ethics - A Rational Ethics - As A Precondition Of Rebirth.","Ayn Rand"
"543","Those That Know, Do. Those That Understand, Teach.","Aristotle"
"544","Luxury Must Be Comfortable, Otherwise It Is Not Luxury.","Coco Chanel"
"545","O World, try to deceive someone else. Are you trying to tempt me or attract me? No way! I divorce you irrevocably. Your time is short and you are insignificant. Alas! The provision is little, the journey is long and the way is lonely.","Ali ibn Abi Talib (R.A)"
"546","There are so many highly esteemed ones who became miserable and humiliated just because of their bad temper and morals; and humble people who have attained eminence and the highest honors because of good temper and morals.","Ali ibn Abi Talib (R.A)"
"547","He That Rises Late Must Trot All Day.","Benjamin Franklin"
"548","Everyone Seems To Have A Clear Idea Of How Other People Should Lead Their Lives, But None About His Or Her Own.","Paulo Coelho"
"549","Now I had won the gold medal. But it didn't mean anything, because I didn't have the right color skin.","Muhammad Ali"
"550","Virtue Has A Veil, Vice A Mask.","Victor Hugo"
"551","The Way You See People Is The Way You Treat Them.","Zig Ziglar"
"552","Give Me Six Hours To Chop Down A Tree And I Will Spend The First Four Sharpening The Axe.","Abraham Lincoln"
"553","Every nation has to follow a certain policy: Commercial, trade, various other types of policies.","Abdul Kalam"
"554","This Is One Small Step For A Man, One Giant Leap For Mankind.","Neil Armstrong"
"555","I'm young, I'm handsome, I'm fast, I'm pretty, and can't possibly be beat. They must fall in the round I call.","Muhammad Ali"
"556","The Reports Of My Death Have Been Greatly Exaggerated.","Mark Twain"
"557","Never Worry About Numbers. Help One Person At A Time And Always Start With The Person Nearest You.","Mother Teresa"
"558","The government, whether state or central, is elected. That means we have a responsibility to elect the right kind of leaders.","Abdul Kalam"
"559","Lead such a life, that, when you die, the people may mourn you, and while you are alive they long for your company.","Ali ibn Abi Talib (R.A)"
"560","Patience is the healthiest ingredient of our life.","Umar ibn Al-Khattāb (R.A)"
"561","God, our Creator, has stored within our minds and personalities, great potential strength and ability. Prayer helps us tap and develop these powers.","Abdul Kalam"
"562","You Can Never Solve A Problem On The Level On Which It Was Created.","Albert Einstein"
"563","A man is hid under his tongue.","Ali ibn Abi Talib (R.A)"
"564","The one from among the Muslims who recites the Qur'an but in the end finds his way to hell, is considered to be among those that have taken the word of Allah in jest.","Ali ibn Abi Talib (R.A)"
"565","Do not put off today's work until tomorrow, lest work accumulate and you achieve nothing.","Umar ibn Al-Khattāb (R.A)"
"566","We should remember that there are nations which meet more than 30 to 60% of their power requirements through the nuclear power system.","Abdul Kalam"
"567","Before Marriage, A Girl Has To Make Love To A Man To Hold Him. After Marriage, She Has To Hold Him To Make Love To Him.","Marilyn Monroe"
"568","If Your Eyes Are Opened, You'll See The Things Worth Seeing.","Rumi"
"569","If a person has ten habits out of which nine are good and one bad, that bad one will destroy the good ones.","Umar ibn Al-Khattāb (R.A)"
"570","There is no rest for the person who has envy, and there is no love for the person who has bad manners.","Ali ibn Abi Talib (R.A)"
"571","Vision Without Power Does Bring Moral Elevation But Cannot Give A Lasting Culture.","Muhammad Iqbal"
"572","Dance, when you're broken open. Dance, if you've torn the bandage off. Dance in the middle of the fighting. Dance in your blood. Dance when you're perfectly free.","Rumi"
"573","Life Doesn'T Run Away From Nobody. Life Runs At People.","Joe Frazier"
"574","One best book is equal to hundred good friends but one good friend is equal to a library.","Abdul Kalam"
"575","Happiness Is That State Of Consciousness Which Proceeds From The Achievement Of One'S Values.","Ayn Rand"
"576","A Life Of Leisure And A Life Of Laziness Are Two Things. There Will Be Sleeping Enough In The Grave.","Benjamin Franklin"
"577","Where Sense Is Wanting, Everything Is Wanting.","Benjamin Franklin"
"578","Do Not Fear Mistakes. You Will Know Failure. Continue To Reach Out.","Benjamin Franklin"
"579","Be soulful. Be kind. Be in love.","Rumi"
"580","I Am The Astronaut Of Boxing. Joe Louis And Dempsey Were Just Jet Pilots. I'M In A World Of My Own.","Muhammad Ali"
"581","I Am Enough Of An Artist To Draw Freely Upon My Imagination.","Albert Einstein"
"582","It is better to listen to a wise enemy than to seek counsel from a foolish friend.","Ali ibn Abi Talib (R.A)"
"583","There Is No More Lovely, Friendly And Charming Relationship, Communion Or Company Than A Good Marriage.","Martin Luther"
"584","If your ruler is just, then praise God; but if he is unjust, pray to God to rid you of him.","Umar ibn Al-Khattāb (R.A)"
"585","He Who Avoids Complaint Invites Happiness.","Abu Bakr"
"586","It'S Hard To Be Humble, When You'Re As Great As I Am.","Muhammad Ali"
"587","Everything That Is Really Great And Inspiring Is Created By The Individual Who Can Labor In Freedom.","Albert Einstein"
"588","There's no one with intelligence in this town except that man over there playing with the children, the one riding the stick horse. He has keen, fiery insight and vast dignity like the night sky, but he conceals it in the madness of child's play.","Rumi"
"589","Courage Is What It Takes To Stand Up And Speak; Courage Is Also What It Takes To Sit Down And Listen.","Winston Churchill"
"590","A man may be as straight as an arrow, but even then he will have some critics.","Umar ibn Al-Khattāb (R.A)"
"591","The desire to know your own soul will end all other desires.","Rumi"
"592","The Secret To Humor Is Surprise.","Aristotle"
"593","Others may know pleasure, but pleasure is not happiness. It has no more importance than a shadow following a man.","Muhammad Ali"
"594","When you do not know of a thing say so plainly.","Umar ibn Al-Khattāb (R.A)"
"595","If you are born with fame, it is an accident. If you die with fame, it is an achievement.","Abdul Kalam"
"596","Try To Be A Rainbow In Someone'S Cloud.","Maya Angelou"
"597","The Two Most Important Days In Your Life Are The Day You Are Born And The Day You Find Out Why.","Mark Twain"
"598","I have learned to live my life one step, one breath, and one moment at a time, but it was a long road. I set out on a journey of love, seeking truth, peace and understanding. I am still learning.","Muhammad Ali"
"599","The Value Of An Idea Lies In The Using Of It.","Thomas A. Edison"
"600","Difficulties in your life do not come to destroy you, but to help you realize your hidden potential and power, let difficulties know that you too are difficult.","Abdul Kalam"
"601","Live everyday as if it were your last because someday you're going to be right.","Muhammad Ali"
"602","Brooding over blunders is the biggest blunder.","Muhammad Ali"
"603","Man Is Still The Most Extraordinary Computer Of All.","John F. Kennedy"
"604","When knowledge is limited - it leads to folly... When knowledge exceeds a certain limit, it leads to exploitation.","Abu Bakr (R.A)"
"605","The vision of the eye is limited; the vision of the heart transcends all barriers of time and space.","Ali ibn Abi Talib (R.A)"
"606","I Don'T Know The Key To Success, But The Key To Failure Is Trying To Please Everybody.","Bill Cosby"
"607","Praise Allah, for by praise His blessings multiply.","Umar ibn Al-Khattāb (R.A)"
"608","There Is Always Some Madness In Love. But There Is Also Always Some Reason In Madness.","Friedrich Nietzsche"
"609","Force Always Attracts Men Of Low Morality.","Albert Einstein"
"610","Be Happy For This Moment. This Moment Is Your Life.","Omar Khayyam"
"611","For me, there are two types of people: the young and the experienced.","Abdul Kalam"
"612","Open your Eyes, for this World is only a Dream.","Rumi"
"613","Success is when your signature becomes an autograph.","Abdul Kalam"
"614","Study me as much as you like, you will not know me, for I differ in a hundred ways from what you see me to be. Put yourself behind my eyes and see me as I see myself, for I have chosen to dwell in a place you cannot see.","Rumi"
"615","Do Whatever You Will, But First Be Such As Are Able To Will.","Friedrich Nietzsche"
"616","Keep Your Eyes Wide Open Before Marriage, Half Shut Afterwards.","Benjamin Franklin"
"617","Of all the follies the greatest is to love the world.","Ali ibn Abi Talib (R.A)"
"618","Dance, and make joyous the love around you. Dance, and your veils which hide the Light shall swirl in a heap at your feet.","Rumi"
"619","There Is No Substitute For Hard Work.","Thomas A. Edison"
"620","Unbelievable, Yet, What Else Could It Be?","Jim Courier"
"621","Have An Earnestness For Death And You Will Have Life.","Abu Bakr"
"622","Avoid Popularity If You Would Have Peace.","Abraham Lincoln"
"623","Acquire knowledge, and learn tranquility and dignity.","Umar ibn Al-Khattāb (R.A)"
"624","Be empty of worrying. Think of who created thought! Why do you stay in prison When the door is so wide open?","Rumi"
"625","I Will Prepare And Some Day My Chance Will Come.","Abraham Lincoln"
